Fecha,Futuros,Precio Interno ($/125 Kg),TRM
2021-05-07,152.3,1409000.0,3800.33
2021-05-06,153.5,1440000.0,3846.28
2021-05-05,148.5,1422000.0,3831.35
2021-05-04,138.9,1340000.0,3816.65
2021-05-03,138.75,1330000.0,3740.14
2021-05-02,,1319000.0,3740.14
2021-05-01,,1319000.0,3740.14
2021-04-30,139.95,1319000.0,3712.89
2021-04-29,141.4,1317000.0,3699.74
2021-04-28,144.3,1332000.0,3717.46
2021-04-27,144.35,1340000.0,3659.62
2021-04-26,141.75,1310000.0,3640.07
2021-04-25,,1250000.0,3640.07
2021-04-24,,1250000.0,3640.07
2021-04-23,136.85,1250000.0,3630.81
2021-04-22,134.3,1233000.0,3639.12
2021-04-21,132.2,1209000.0,3636.26
2021-04-20,132.45,1220000.0,3606.42
2021-04-19,129.85,1192000.0,3595.57
2021-04-18,,1178000.0,3595.57
2021-04-17,,1178000.0,3595.57
2021-04-16,129.15,1178000.0,3620.4
2021-04-15,132.7,1205000.0,3665.49
2021-04-14,132.1,1215000.0,3666.17
2021-04-13,130.05,1200000.0,3653.57
2021-04-12,128.1,1185000.0,3650.23
2021-04-11,,1175000.0,3650.23
2021-04-10,,1175000.0,3650.23
2021-04-09,127.25,1175000.0,3634.07
2021-04-08,127.85,1169000.0,3639.62
2021-04-07,126.75,1168000.0,3645.14
2021-04-06,126.85,1160000.0,3645.79
2021-04-05,122.1,1136000.0,3678.62
2021-04-04,,1126000.0,3678.62
2021-04-03,,1126000.0,3678.62
2021-04-02,,1126000.0,3678.62
2021-04-01,121.6,1126000.0,3678.62
2021-03-31,123.5,1138000.0,3736.91
2021-03-30,122.6,1150000.0,3705.85
2021-03-29,127.05,1178000.0,3665.41
2021-03-28,,1178000.0,3665.41
2021-03-27,,1178000.0,3665.41
2021-03-26,128.5,1178000.0,3658.22
2021-03-25,126.6,1153000.0,3635.12
2021-03-24,126.5,1143000.0,3589.82
2021-03-23,127.6,1142000.0,3553.34
2021-03-22,130.1,1140000.0,3553.34
2021-03-21,,1132000.0,3553.34
2021-03-20,,1132000.0,3553.34
2021-03-19,125.45,1132000.0,3569.45
2021-03-18,126.4,1134000.0,3578.02
2021-03-17,132.85,1167000.0,3553.51
2021-03-16,133.8,1168000.0,3575.63
2021-03-15,131.45,1150000.0,3575.3
2021-03-14,,1160000.0,3575.3
2021-03-13,,1160000.0,3575.3
2021-03-12,132.45,1160000.0,3534.62
2021-03-11,131.8,1150000.0,3561.91
2021-03-10,129.35,1137000.0,3598.77
2021-03-09,128.9,1145000.0,3623.61
2021-03-08,129.05,1140000.0,3640.2
2021-03-07,,1147000.0,3640.2
2021-03-06,,1147000.0,3640.2
2021-03-05,128.75,1147000.0,3647.99
2021-03-04,128.4,1175000.0,3676.94
2021-03-03,131.15,1191000.0,3646.61
2021-03-02,133.2,1190000.0,3622.36
2021-03-01,135.15,1195000.0,3624.39
2021-02-28,,1218000.0,3624.39
2021-02-27,,1218000.0,3624.39
2021-02-26,136.85,1218000.0,3588.23
2021-02-25,139.2,1092000.0,3578.29
2021-02-24,135.65,1188000.0,3590.37
2021-02-23,136.85,1205000.0,3602.41
2021-02-22,133.45,1180000.0,3555.4
2021-02-21,,1128000.0,3555.4
2021-02-20,,1128000.0,3555.4
2021-02-19,127.5,1128000.0,3537.86
2021-02-18,127.6,1120000.0,3545.84
2021-02-17,125.7,1096000.0,3518.19
2021-02-16,124.35,1088000.0,3515.65
2021-02-15,,1053000.0,3515.65
2021-02-14,,1053000.0,3515.65
2021-02-13,,1053000.0,3515.65
2021-02-12,121.15,1053000.0,3525.45
2021-02-11,121.2,1062000.0,3557.16
2021-02-10,121.1,1072000.0,3583.23
2021-02-09,122.95,1091000.0,3554.65
2021-02-08,124.1,1098000.0,3543.28
2021-02-07,,1095000.0,3543.28
2021-02-06,,1095000.0,3543.28
2021-02-05,124.5,1095000.0,3558.63
2021-02-04,124.05,1090000.0,3522.57
2021-02-03,123.95,1082000.0,3534.99
2021-02-02,123.4,1076000.0,3561.37
2021-02-01,125.35,1104000.0,3559.46
2021-01-31,,1085000.0,3559.46
2021-01-30,,1085000.0,3559.46
2021-01-29,122.95,1085000.0,3585.44
2021-01-28,124.0,1091000.0,3636.91
2021-01-27,125.5,1115000.0,3591.48
2021-01-26,124.5,1110000.0,3582.41
2021-01-25,123.25,1092000.0,3525.25
2021-01-24,,1078000.0,3525.25
2021-01-23,,1078000.0,3525.25
2021-01-22,124.05,1078000.0,3477.48
2021-01-21,126.45,1080000.0,3476.19
2021-01-20,125.2,1067000.0,3482.03
2021-01-19,127.15,1088000.0,3466.8
2021-01-18,,1085000.0,3466.8
2021-01-17,,1085000.0,3466.8
2021-01-16,,1085000.0,3466.8
2021-01-15,128.15,1085000.0,3469.76
2021-01-14,127.35,1075000.0,3478.36
2021-01-13,125.25,1070000.0,3487.65
2021-01-12,121.4,1042000.0,3478.11
2021-01-11,121.45,1039000.0,3478.11
2021-01-10,,1055000.0,3478.11
2021-01-09,,1055000.0,3478.11
2021-01-08,123.7,1055000.0,3459.39
2021-01-07,121.1,1043000.0,3428.04
2021-01-06,120.9,1020000.0,3450.74
