Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest_x,RandomForest,typeRandomForest_y,RandomForest.1,typeXGBoost,XGBoost,typeELM,ELM
2020-08-10,1.077424195,train,0.9260767,train,1.0603791,train,1.048703207,train,1.5818225,train,1.141194998
2020-08-11,1.1163322,train,1.4114716,train,1.073343229,train,1.168216172,train,1.4063983,train,1.616917304
2020-08-12,0.626680654,train,1.6899555,train,0.861657661,train,0.934271217,train,1.4063983,train,1.142533576
2020-08-13,3.636764417,train,1.8159214,train,2.63352723,train,2.747910135,train,1.4995636,train,1.194598403
2020-08-14,1.299282028,train,1.6547558,train,1.38493336,train,1.595855921,train,1.7596312,train,1.133592896
2020-08-15,1.700237743,train,1.4329646,train,1.457223926,train,1.549765568,train,1.5105255,train,0.44552264
2020-08-16,0.098226538,train,1.3320031,train,0.514686027,train,0.529801603,train,1.5818225,train,1.505372584
2020-08-17,2.340342464,train,1.4974625,train,1.851505712,train,1.842222451,train,1.5818225,train,1.274598245
2020-08-18,3.193799238,train,1.6376015,train,2.32906989,train,2.494164531,train,1.9528676,train,2.117400474
2020-08-19,0.71503985,train,1.3737632,train,1.171335215,train,1.378230503,train,1.4334195,train,1.941436699
2020-08-20,0.084388191,train,1.3103323,train,0.58627953,train,0.786517289,train,1.4173602,train,1.697893196
2020-08-21,1.298991657,train,1.3104918,train,1.359317776,train,1.402829603,train,1.5818225,train,1.650522592
2020-08-22,0.107710166,train,1.1263989,train,0.486167173,train,0.373467447,train,1.4063983,train,0.751487791
2020-08-23,0.60377265,train,1.0837257,train,0.732720862,train,0.698585414,train,1.4063983,train,0.947504365
2020-08-24,0.836300806,train,1.0032868,train,1.058640963,train,0.95781043,train,1.6099132,train,1.352743768
2020-08-25,2.423614211,train,0.9161667,train,1.973446705,train,1.769934594,train,1.5276543,train,1.430998886
2020-08-26,0.325203539,train,0.8109273,train,0.710504522,train,1.088338879,train,1.4817992,train,1.247534177
2020-08-27,0.122075295,train,1.0271093,train,0.628949954,train,0.792017953,train,1.4995636,train,0.400654173
2020-08-28,3.319640953,train,0.9770413,train,2.456009842,train,2.194414514,train,1.6099132,train,1.169947133
2020-08-29,1.551937668,train,0.985398,train,1.401420572,train,1.671484642,train,1.8664712,train,1.063521946
2020-08-30,0.036440036,train,0.9490757,train,0.37076755,train,0.21902102,train,1.4173602,train,0.986598314
2020-08-31,0.513684903,train,0.8617679,train,0.75911496,train,0.651046821,train,1.5818225,train,1.216461369
2020-09-01,1.604925545,train,1.1779003,train,1.432721616,train,1.286992089,train,1.5818225,train,1.10692381
2020-09-02,0.303720811,train,1.3382291,train,0.603756797,train,0.682499461,train,1.4063983,train,0.557979833
2020-09-03,0.076016727,train,1.4815612,train,0.42718237,train,0.43824881,train,1.4063983,train,0.750238571
2020-09-04,2.402517959,train,1.5829931,train,2.001330187,train,1.960936921,train,1.5818225,train,0.901201504
2020-09-05,1.75828093,train,1.5364298,train,1.622530337,train,1.581563361,train,1.6030552,train,0.911836573
2020-09-06,0.325072422,train,1.5364887,train,0.649413936,train,0.435894153,train,1.4063983,train,0.63776298
2020-09-07,1.075389999,train,1.6976011,train,1.132630226,train,1.060689319,train,1.6099132,train,0.828559811
2020-09-08,2.502759497,train,2.0159342,train,2.035462506,train,2.161235086,train,1.6099132,train,1.625509888
2020-09-09,2.400572506,train,1.9708118,train,1.889405694,train,1.880738881,train,1.4817992,train,1.755426955
2020-09-10,2.174413344,train,1.4410819,train,2.001567434,train,2.068825276,train,1.8316116,train,1.696098285
2020-09-11,0.63946052,train,1.1099536,train,0.993466722,train,0.999941197,train,1.5749645,train,1.430379486
2020-09-12,1.950780976,train,1.9181923,train,1.718674243,train,1.773864902,train,1.9058204,train,1.027794063
2020-09-13,3.100508352,train,1.7652025,train,2.341254481,train,2.356755705,train,1.4886572,train,2.067722355
2020-09-14,2.581842491,train,1.8428257,train,2.215707512,train,2.482550234,train,1.4817992,train,2.060951874
2020-09-15,1.09868857,train,1.7820107,train,1.346809233,train,1.13824799,train,1.6030552,train,1.56059256
2020-09-16,1.359444211,train,1.7695655,train,1.369769636,train,1.431306879,train,1.5386162,train,1.554703133
2020-09-17,2.053288142,train,1.7136065,train,1.884820081,train,1.875736347,train,1.4886572,train,2.204175081
2020-09-18,3.884821692,train,1.631129,train,2.959010759,train,2.85437423,train,2.3596072,train,2.531027214
2020-09-19,1.653716531,train,1.5492318,train,1.59289928,train,1.539151628,train,1.7596312,train,1.876785924
2020-09-20,0.228366194,train,1.3896282,train,0.628605886,train,0.554346512,train,1.5105255,train,0.56263438
2020-09-21,0.006886838,train,0.6736946,train,0.504759406,train,0.59905275,train,1.6099132,train,1.132630356
2020-09-22,1.21268048,train,0.7510217,train,1.200700678,train,1.098251544,train,1.6099132,train,1.36247454
2020-09-23,0.135654554,train,0.84540397,train,0.513621886,train,0.318288165,train,1.4063983,train,1.480505901
2020-09-24,0.586511945,train,0.97173667,train,0.755055706,train,0.96024744,train,1.4063983,train,0.786788148
2020-09-25,2.224290989,train,0.9858572,train,1.837338913,train,2.005613189,train,1.5818225,train,1.017478127
2020-09-26,0.040747118,train,0.8871816,train,0.549105339,train,0.466866449,train,1.5749645,train,0.494242392
2020-09-27,1.817066308,train,1.0712628,train,1.514528055,train,1.410830159,train,1.4995636,train,1.03939769
2020-09-28,1.897920107,train,0.9273918,train,1.568862811,train,1.53890195,train,1.5818225,train,1.150450454
2020-09-29,9.13e-06,train,0.9683838,train,0.362010931,train,0.49308751,train,1.4995636,train,0.857877168
2020-09-30,1.269858334,train,1.0408269,train,1.166053548,train,1.221275246,train,1.4886572,train,1.114227564
2020-10-01,3.578363434,train,1.1523176,train,2.707451043,train,2.77239238,train,1.6099132,train,1.44044349
2020-10-02,1.759304635,train,1.2749865,train,1.6484348,train,1.618045338,train,1.7596312,train,2.013381883
2020-10-03,0.786510758,train,1.1560241,train,0.866658977,train,0.797752547,train,1.7759898,train,1.082595108
2020-10-04,1.173496062,train,1.0678779,train,1.131541081,train,1.315733576,train,1.6099132,train,1.796084824
2020-10-05,1.232295971,train,1.0567162,train,1.161135232,train,1.139922707,train,1.6099132,train,1.791373998
2020-10-06,0.418897517,train,0.99445164,train,0.601145909,train,0.685621501,train,1.5276543,train,1.193520787
2020-10-07,1.79521507,train,0.85429657,train,1.611486743,train,1.491733418,train,1.4886572,train,1.138415627
2020-10-08,0.591313981,train,0.76867193,train,0.808651617,train,0.827311973,train,1.5818225,train,1.600846612
2020-10-09,1.172240655,train,0.72588897,train,1.138061326,train,1.118645843,train,1.4995636,train,1.261142609
2020-10-10,0.383560145,train,0.77078146,train,0.692120617,train,0.742023152,train,1.6099132,train,1.577566436
2020-10-11,1.311718389,train,0.9614431,train,1.224447688,train,1.113690629,train,1.4995636,train,1.313732339
2020-10-12,0.479705255,train,0.9521319,train,0.651350218,train,0.816267559,train,1.4063983,train,1.762654467
2020-10-13,0.866596073,train,1.3408517,train,0.995923059,train,0.982418692,train,1.5276543,train,2.081865733
2020-10-14,0.455166921,train,1.5154546,train,0.64343729,train,1.151293712,train,1.5818225,train,1.845705675
2020-10-15,0.091282526,train,1.4500722,train,0.504371843,train,0.561322074,train,1.4995636,train,0.641064953
2020-10-16,2.076199145,train,1.4616438,train,1.69006076,train,1.700713668,train,1.4063983,train,1.53324711
2020-10-17,1.08380298,train,1.2704533,train,1.122831085,train,1.156285656,train,1.5749645,train,1.574740001
2020-10-18,0.026466391,train,0.9571287,train,0.352857495,train,0.267779285,train,1.4995636,train,0.605776355
2020-10-19,0.067851091,train,0.35724014,train,0.393464191,train,0.513972159,train,1.5818225,train,0.751576253
