Fecha,Vol. Futuros,TRM,Precio Interno,PI,MHI,FNI,SI
2020-09-30,1.2698583337127345,3878.94,1077000.0,2.02,39.77,0.97,-12.93
2020-10-01,3.578363434291121,3865.47,1051000.0,2.21,37.75,0.77,-20.68
2020-10-02,1.7593046354937074,3842.34,1074000.0,1.48,44.84,0.41,-17.7
2020-10-03,0.7865107578291946,3881.8,1074000.0,2.31,39.71,0.24,-12.73
2020-10-04,1.1734960621435058,3881.8,1074000.0,1.08,25.89,0.62,-14.65
2020-10-05,1.23229597107841,3881.8,1048000.0,1.98,30.03,0.66,-15.87
2020-10-06,0.4188975173670387,3843.75,1053000.0,1.47,44.22,0.45,-19.77
2020-10-07,1.7952150703543095,3826.77,1071000.0,3.56,47.23,0.1,-12.81
2020-10-08,0.5913139813040367,3837.79,1075000.0,0.68,49.4,0.26,-5.52
2020-10-09,1.1722406551586042,3839.73,1082000.0,1.06,31.4,0.21,-12.86
2020-10-10,0.3835601446697049,3824.25,1082000.0,9.02,49.34,0.1,-21.92
2020-10-11,1.3117183888135422,3824.25,1082000.0,6.01,47.21,0.64,-14.11
2020-10-12,0.4797052547756029,3824.25,1064000.0,2.74,40.41,0.68,-12.69
2020-10-13,0.8665960732681199,3824.25,1080000.0,1.88,56.23,0.29,-9.89
2020-10-14,0.4551669214719075,3856.32,1070000.0,0.88,56.55,0.08,-11.74
2020-10-15,0.0912825257359577,3843.59,1073000.0,1.76,44.23,0.77,-12.62
2020-10-16,2.0761991448429127,3854.47,1055000.0,2.43,43.78,0.93,-10.27
2020-10-17,1.0838029795529842,3846.48,1055000.0,0.77,57.69,4.11,-3.24
2020-10-18,0.0264663906676429,3846.48,1055000.0,11.3,45.8,0.87,-3.17
2020-10-19,0.0678510908581406,3846.48,1046000.0,2.22,36.67,0.0,-3.13
2020-10-20,1.0903165608439855,3842.76,1032000.0,13.48,78.92,0.54,-9.33
2020-10-21,0.7175347695270455,3830.79,1010000.0,2.42,80.44,1.19,-7.52
2020-10-22,2.4188990600726745,3784.51,1033000.0,1.41,43.49,1.04,-5.57
2020-10-23,1.036278703554666,3776.73,1025000.0,0.84,39.95,0.5,-1.98
2020-10-24,0.6799773726328711,3782.66,1025000.0,2.71,37.57,0.65,-7.38
2020-10-25,0.5998398622521253,3782.66,1025000.0,0.46,60.81,0.37,-11.84
2020-10-26,1.0695448749005985,3782.66,1039000.0,0.56,85.58,0.16,-11.84
2020-10-27,0.2808990611054952,3812.82,1039000.0,1.5,45.03,0.14,-8.52
2020-10-28,1.840108537089129,3810.23,1030000.0,1.82,39.79,0.86,-10.52
2020-10-29,0.3816798526700853,3841.46,1035000.0,2.02,39.85,1.13,-14.61
2020-10-30,0.1913876182284053,3849.53,1035000.0,1.67,47.31,0.83,-15.36
2020-10-31,0.7859499009242498,3858.56,1035000.0,0.84,49.32,1.35,-15.08
2020-11-01,0.7889041013650951,3858.56,1035000.0,0.48,80.14,0.33,-16.36
2020-11-02,0.030421759541966,3858.56,1023000.0,3.42,77.52,2.44,-13.47
2020-11-03,0.6303051170487282,3858.56,1013000.0,1.99,34.07,0.32,-16.46
