Fecha,Vol. Futuros,PI,MHI,FNI,SI
2020-09-05,1.7582809300030866,7.75,52.18,0.22,11.87
2020-09-06,0.3250724220450234,11.67,39.75,0.0,7.41
2020-09-07,1.0753899988156652,3.36,38.81,0.0,6.97
2020-09-08,2.50275949681977,1.84,46.47,0.42,-3.62
2020-09-09,2.4005725057660103,2.23,45.62,0.27,-11.17
2020-09-10,2.174413344160351,1.82,60.43,31.72,-25.74
2020-09-11,0.6394605201746353,3.67,40.41,0.76,-20.41
2020-09-12,1.9507809761442367,2.72,42.0,0.62,-18.04
2020-09-13,3.100508352219829,2.63,58.91,0.94,-14.88
2020-09-14,2.581842490976357,12.98,38.6,0.17,-11.3
2020-09-15,1.0986885697124038,3.49,40.55,0.51,-14.1
2020-09-16,1.3594442110314993,2.6,41.8,4.02,-7.07
2020-09-17,2.0532881423863465,1.97,37.85,2.06,-3.85
2020-09-18,3.8848216916265694,5.29,40.54,0.56,-3.76
2020-09-19,1.6537165313746631,2.36,49.43,0.31,-7.7
2020-09-20,0.2283661936803517,1.57,40.6,4.05,-13.75
2020-09-21,0.0068868384986555,5.2,36.63,0.5,-12.01
2020-09-22,1.2126804798035775,2.49,48.6,0.83,-7.85
2020-09-23,0.1356545539251232,5.7,49.86,0.77,-8.71
2020-09-24,0.5865119452398058,2.49,60.07,1.28,-8.84
2020-09-25,2.2242909888346616,4.56,47.64,0.95,-8.83
2020-09-26,0.0407471177466863,3.33,54.22,0.22,-10.98
2020-09-27,1.8170663078358045,3.27,52.08,2.98,-11.99
2020-09-28,1.897920107367025,3.56,48.54,0.97,-12.01
2020-09-29,9.128251527171026e-06,2.82,45.76,1.58,-8.43
2020-09-30,1.2698583337127345,2.02,39.77,0.97,-12.93
2020-10-01,3.578363434291121,2.21,37.75,0.77,-20.68
2020-10-02,1.7593046354937074,1.48,44.84,0.41,-17.7
2020-10-03,0.7865107578291946,2.31,39.71,0.24,-12.73
2020-10-04,1.1734960621435058,1.08,25.89,0.62,-14.65
2020-10-05,1.23229597107841,1.98,30.03,0.66,-15.87
2020-10-06,0.4188975173670387,1.47,44.22,0.45,-19.77
2020-10-07,1.7952150703543095,3.56,47.23,0.1,-12.81
2020-10-08,0.5913139813040367,0.68,49.4,0.26,-5.52
2020-10-09,1.1722406551586042,1.06,31.4,0.21,-12.86
2020-10-10,0.3835601446697049,9.02,49.34,0.1,-21.92
2020-10-11,1.3117183888135422,6.01,47.21,0.64,-14.11
2020-10-12,0.4797052547756029,2.74,40.41,0.68,-12.69
2020-10-13,0.8665960732681199,1.88,56.23,0.29,-9.89
2020-10-14,0.4551669214719075,0.88,56.55,0.08,-11.74
2020-10-15,0.0912825257359577,1.76,44.23,0.77,-12.62
2020-10-16,2.0761991448429127,2.43,43.78,0.93,-10.27
2020-10-17,1.0838029795529842,0.77,57.69,4.11,-3.24
2020-10-18,0.0264663906676429,11.3,45.8,0.87,-3.17
2020-10-19,0.0678510908581406,2.22,36.67,0.0,-3.13
2020-10-20,1.0903165608439855,13.48,78.92,0.54,-9.33
2020-10-21,0.7175347695270455,2.42,80.44,1.19,-7.52
2020-10-22,2.4188990600726745,1.41,43.49,1.04,-5.57
2020-10-23,1.036278703554666,0.84,39.95,0.5,-1.98
2020-10-24,0.6799773726328711,2.71,37.57,0.65,-7.38
2020-10-25,0.5998398622521253,0.46,60.81,0.37,-11.84
2020-10-26,1.0695448749005985,0.56,85.58,0.16,-11.84
2020-10-27,0.2808990611054952,1.5,45.03,0.14,-8.52
2020-10-28,1.840108537089129,1.82,39.79,0.86,-10.52
2020-10-29,0.3816798526700853,2.02,39.85,1.13,-14.61
2020-10-30,0.1913876182284053,1.67,47.31,0.83,-15.36
2020-10-31,0.7859499009242498,0.84,49.32,1.35,-15.08
2020-11-01,0.7889041013650951,0.48,80.14,0.33,-16.36
2020-11-02,0.030421759541966,3.42,77.52,2.44,-13.47
2020-11-03,0.6303051170487282,1.99,34.07,0.32,-16.46
2020-11-04,0.4359415961916282,3.4,37.76,1.43,-15.63
2020-11-05,2.823829648467227,1.69,28.51,0.51,-15.62
2020-11-06,0.9394150814106452,1.23,41.33,0.61,-13.21
2020-11-07,0.027110468190713,1.16,38.97,0.53,-6.47
2020-11-08,0.0776665865669314,1.73,18.42,0.87,-2.52
2020-11-09,0.0429892579495941,2.56,73.76,0.68,-8.17
2020-11-10,0.4202667871496199,1.85,64.06,0.08,-8.34
2020-11-11,1.6636243202372292,0.45,47.07,0.45,-11.46
2020-11-12,0.9124150889609192,12.35,61.53,0.23,-5.96
2020-11-13,0.7750209752934694,5.5,36.51,1.01,-11.03
2020-11-14,1.324186832762031,0.88,49.08,0.27,-18.56
2020-11-15,2.636155283206452,1.37,44.44,0.14,-13.9
2020-11-16,1.7326133542063953,6.64,33.2,0.08,-9.43
2020-11-17,0.4744455740362649,6.01,44.3,0.07,-7.14
2020-11-18,3.0093391873213826,2.02,69.77,0.07,-2.4
2020-11-19,0.7487555780016064,2.42,32.74,1.83,-9.79
2020-11-20,4.362326210919261,5.75,50.03,0.91,2.06
2020-11-21,1.91517309451818,2.42,49.09,0.55,6.02
2020-11-22,0.644617794143361,3.75,50.33,0.88,-0.38
2020-11-23,0.3573069440475507,10.85,38.89,0.0,-3.77
2020-11-24,1.1423674319029344,26.22,78.94,0.73,-2.4
2020-11-25,1.1860450914747842,1.25,46.14,0.1,-4.09
